lon,lat
3.404054,50.904751
3.700182,51.017924
3.516601,50.97721
3.263496,50.832499
3.704858,51.019945
3.500633,50.97676
3.525905,50.976795
3.403622,50.903428
3.324729,50.863652
3.726177,51.035744
3.50277,50.976644
3.218576,50.818827
3.447567,50.939997
3.607508,50.989226
3.622306,50.991738
3.328924,50.865519
3.307309,50.855878
3.703362,51.019304
3.699859,51.01762
3.342411,50.871963
3.53517,50.977857
3.516765,50.977064
3.6912,51.014663
3.726259,51.038428
3.27742,50.837844
3.285637,50.84397
3.403093,50.90034
3.214132,50.817578
3.313113,50.85766
3.303935,50.853956
3.270691,50.836198
3.227087,50.823547
3.720284,51.026458
3.486811,50.969711
3.468508,50.95948
3.260025,50.830716
3.320456,50.861464
3.605778,50.98848
3.658313,51.000079
3.672827,51.006255
3.397767,50.897916
3.673833,51.006791
3.243055,50.827341
3.541724,50.979084
3.225835,50.822874
3.324584,50.863605
3.40661,50.910957
3.430965,50.923427
3.501148,50.976641
3.268859,50.834783
3.402071,50.899863
3.726032,51.053059
3.490014,50.971189
3.645471,50.995439
3.201195,50.814204
3.192302,50.811584
3.234797,50.825301
3.403053,50.90953
3.720335,51.026474
3.319618,50.861059
3.259015,50.830262
3.693505,51.015083
3.641354,50.994703
3.680375,51.009547
3.722396,51.029375
3.403433,50.909348
3.337825,50.869775
3.48462,50.968607
3.727091,51.046892
3.242902,50.827305
3.421588,50.917352
3.652808,50.997655
3.183601,50.808262
3.565619,50.982907
3.640246,50.994553
3.417942,50.915851
3.435599,50.927997
3.224377,50.822008
3.645574,50.994935
3.399402,50.898592
3.403526,50.90774
3.687936,51.012765
3.720759,51.026703
3.39758,50.897745
3.722296,51.028793
3.283318,50.840982
3.358122,50.879397
3.514387,50.977472
3.719964,51.026264
3.269819,50.835594
3.634524,50.993661
3.589746,50.986705
3.720123,51.026333
3.726235,51.038501
3.404534,50.90825
3.605467,50.988473
3.310409,50.856852
3.726209,51.03857
3.700075,51.017729
3.629954,50.992948
3.241273,50.826847
3.351001,50.876032
3.2528,50.828915
3.390406,50.894371
3.286063,50.844481
3.727295,51.052541
3.578548,50.984964
3.292276,50.848129
3.663639,51.002478
3.726611,51.051119
3.402653,50.907522
3.223586,50.821492
3.20976,50.816647
3.55828,50.981753
3.418765,50.916128
3.526391,50.976933
3.236464,50.82567
3.726549,51.037173
3.699996,51.017641
3.403761,50.905729
3.651547,50.997166
3.57524,50.984411
3.520332,50.976279
3.700012,51.017817
3.528066,50.97728
3.227499,50.823775
3.315605,50.859082
3.261216,50.831345
3.65237,50.997423
3.699857,51.017641
3.516832,50.976914
3.327254,50.864719
3.195055,50.812327
3.573309,50.984114
3.726918,51.046201
3.403252,50.902595
3.310809,50.856829
3.403911,50.904179
3.699948,51.017612
3.727084,51.048678
3.476699,50.964843
3.467866,50.959112
3.313557,50.857854
3.252338,50.828721
3.670118,51.005125
3.525473,50.976724
3.397094,50.897507
3.357711,50.879206
3.217133,50.818407
3.506132,50.976205
3.183999,50.808869
3.195548,50.812457
3.360714,50.88061
3.608916,50.989668
3.561567,50.982319
3.200365,50.81396
3.2519,50.828514
3.340288,50.870959
3.721887,51.027153
3.60565,50.988457
3.362285,50.881345
3.228149,50.824075
3.727161,51.047176
3.404397,50.90841
3.249966,50.827466
3.72646,51.05086
3.725522,51.053257
3.699757,51.017769
3.520887,50.976303
3.221052,50.819806
3.309356,50.857332
3.302032,50.852354
3.727145,51.052613
3.477446,50.965235
3.431827,50.924223
3.688575,51.013182
3.282821,50.840398
3.31176,50.857207
3.700048,51.017775
3.700087,51.017769
3.341701,50.871637
3.699801,51.017676
3.402966,50.902017
3.384068,50.89145
3.534848,50.977809
3.403142,50.906503
3.315174,50.858814
3.651981,50.997329
3.557659,50.981651
3.259799,50.830621
3.52667,50.977024
3.209814,50.816675
3.708117,51.021272
3.654855,50.998556
3.726185,51.03863
3.364308,50.882283
3.199811,50.813701
3.598738,50.988117
3.39888,50.898354
3.604606,50.988346
3.185804,50.8095
3.370242,50.885103
3.609774,50.989814
3.365955,50.883056
3.699835,51.017781
3.527944,50.977365
3.298453,50.850181
3.228721,50.824133
3.720572,51.026555
3.403103,50.900294
3.22302,50.821114
3.530609,50.976625
