lon,lat
4.967947,50.478689
5.516633,50.620748
5.511979,50.614255
5.25057,50.528298
4.879466,50.463825
4.735378,50.442657
5.562433,50.637741
5.527546,50.620216
4.846011,50.469692
5.070929,50.491913
4.862621,50.461793
4.999497,50.467882
5.514753,50.62039
5.534134,50.623718
5.259292,50.533734
5.335965,50.545465
5.195081,50.521829
4.460768,50.401123
5.550741,50.633514
4.607154,50.427601
5.389512,50.569083
4.884257,50.465224
5.239645,50.520427
4.619821,50.434292
4.834743,50.46531
5.359692,50.56227
5.194584,50.52104
4.941432,50.477983
5.322511,50.537066
4.74298,50.441081
5.238604,50.519599
5.484235,50.60002
5.512145,50.609696
5.357336,50.558933
4.636954,50.445342
5.523377,50.620029
5.514713,50.620332
5.512624,50.612309
5.510682,50.618052
4.635104,50.446366
4.447687,50.408251
4.719216,50.43844
5.2235,50.520949
5.485677,50.598489
5.510599,50.616242
5.004395,50.469692
5.236502,50.518241
4.847891,50.470069
5.485685,50.59846
5.496652,50.606088
5.238575,50.519693
5.568901,50.639094
4.907353,50.464251
4.848567,50.469994
5.514097,50.610615
4.709817,50.43826
4.753867,50.433044
5.567839,50.636788
5.028017,50.491144
4.830748,50.4491
5.140782,50.504699
4.665017,50.444697
4.919412,50.46475
4.975437,50.476282
4.84684,50.470126
4.88011,50.463138
5.043314,50.495345
5.533496,50.623309
4.62246,50.439466
4.758044,50.437132
5.223453,50.519598
5.061757,50.493623
4.966878,50.478915
5.557985,50.636598
5.232486,50.516207
5.335937,50.555192
5.15599,50.510953
5.347136,50.555674
4.63722,50.445257
5.483953,50.599781
4.751876,50.432786
4.934565,50.473523
5.335633,50.54535
4.658449,50.440875
5.475595,50.592007
4.567766,50.443399
5.432857,50.586939
4.562964,50.423427
4.445634,50.410622
5.019619,50.484135
5.336067,50.546963
4.755954,50.433962
5.408426,50.578601
5.145111,50.505198
5.421178,50.583517
4.634757,50.446083
5.242281,50.522847
5.149107,50.509525
4.898853,50.465439
4.641802,50.442582
4.651428,50.439612
4.873554,50.463009
5.525463,50.619092
4.757766,50.439763
5.458498,50.590478
4.66859,50.449693
4.635959,50.446142
5.480031,50.594657
5.335456,50.554956
4.648466,50.439655
5.127567,50.501645
4.676773,50.450362
5.347102,50.555723
5.511855,50.615391
5.238181,50.519406
5.223828,50.518271
4.49972,50.399641
4.599782,50.427936
4.846001,50.469825
4.730016,50.441428
4.577237,50.438509
4.743832,50.440519
5.248973,50.529592
5.062055,50.49355
4.732318,50.442364
5.525272,50.620307
4.594802,50.428866
4.447281,50.407474
5.189284,50.517142
4.758085,50.438536
4.610682,50.429628
5.281788,50.535107
5.260091,50.534651
5.520848,50.620822
4.896292,50.465567
4.744434,50.44
4.613793,50.430732
5.33495,50.55428
4.459014,50.401607
5.222091,50.523632
4.612178,50.430228
4.850761,50.4695
4.8073,50.452851
5.511746,50.615405
4.903034,50.464958
5.501131,50.607497
4.657707,50.44059
4.753085,50.432873
5.51429,50.620145
5.250114,50.528671
4.44644,50.411434
4.834758,50.455526
5.148877,50.509361
4.895702,50.465582
5.531636,50.621834
5.24688,50.528458
5.495883,50.606823
5.101758,50.494431
5.243453,50.525108
5.525272,50.62018
5.23853,50.519547
5.351763,50.559256
4.903733,50.464887
5.375714,50.566531
4.627537,50.443811
5.471294,50.591445
5.283487,50.534929
4.632253,50.445203
4.596019,50.428417
5.510843,50.6185
4.51655,50.40614
4.864673,50.461662
4.79674,50.45139
4.444455,50.41336
4.924977,50.466908
5.511101,50.618392
5.563074,50.637023
5.483995,50.599533
5.535698,50.624752
5.54669,50.632593
5.069001,50.491755
5.354704,50.557733
4.880057,50.463126
4.680419,50.446243
4.729632,50.441253
4.818212,50.452244
5.385843,50.566977
5.512537,50.611736
5.50101,50.607473
5.233589,50.516329
5.54319,50.630987
4.706726,50.443911
5.550776,50.633522
4.832944,50.449652
4.562915,50.443382
5.510896,50.616314
4.556161,50.437517
5.422636,50.58386
5.511509,50.616455
5.196242,50.522793
4.634375,50.445911
5.511354,50.617709
5.287444,50.533826
5.548287,50.633035
5.512564,50.612427
5.041808,50.495162
5.238412,50.519544
4.964864,50.479331
5.24382,50.525735
4.650159,50.439537
4.880171,50.464329
4.617835,50.432473
5.404581,50.575964
5.19422,50.520055
4.642087,50.442355
4.865123,50.461716
5.415895,50.582547
5.078225,50.491994
5.509998,50.609452
4.750348,50.432908
4.871137,50.462156
5.510528,50.618356
4.540984,50.418076
5.282851,50.535069
5.24244,50.523454
4.563127,50.422162
5.072701,50.492019
5.33466,50.553529
5.546804,50.632669
4.979867,50.474234
4.458435,50.401748
4.636312,50.445763
4.691844,50.443415
5.458087,50.590442
5.525503,50.620757
5.334733,50.551457
5.201238,50.524687
4.877944,50.465008
4.91853,50.46455
4.602778,50.427358
4.904293,50.46483
4.79494,50.450128
4.852652,50.468505
5.224608,50.517254
5.31066,50.53236
4.8236,50.449254
5.334849,50.551031
5.51195,50.616667
5.556541,50.635486
4.997336,50.46776
5.239628,50.520842
4.846049,50.469891
4.526224,50.410142
5.557602,50.63575
4.511389,50.4053
5.213387,50.527265
4.564774,50.444105
4.832654,50.461137
4.84435,50.469824
5.525522,50.619081
5.122946,50.49968
5.205843,50.526117
4.664373,50.44401
4.715649,50.438026
4.669232,50.450111
4.709296,50.438393
4.560081,50.419557
4.558581,50.440653
5.494566,50.606215
5.141364,50.504796
4.6588,50.441063
5.546883,50.632581
5.514671,50.620313
5.359849,50.560334
5.068988,50.491887
5.37781,50.566868
4.901117,50.465155
5.512862,50.610762
4.672972,50.451076
5.334611,50.552177
4.622385,50.439386
4.61376,50.430757
5.42576,50.584737
5.510616,50.616204
5.244494,50.526338
5.567884,50.636586
4.553942,50.418573
4.794492,50.449669
4.6893,50.442404
5.528421,50.619943
4.743419,50.44081
5.514285,50.609847
5.261286,50.534722
5.029556,50.49185
4.643596,50.441444
4.789351,50.44382
5.480322,50.594421
4.981036,50.473514
4.733063,50.442503
4.445443,50.410482
5.360697,50.561193
5.000436,50.468092
4.785791,50.443367
5.388584,50.568511
4.836308,50.467181
4.596575,50.428311
4.576082,50.439445
4.799295,50.452376
5.485003,50.597865
4.453531,50.40347
5.255801,50.530907
5.518421,50.620954
4.98493,50.470705
5.510941,50.618047
4.700172,50.449079
4.796286,50.451137
5.511837,50.618259
5.483357,50.596959
4.758129,50.438083
4.44536,50.412455
4.78661,50.443338
5.567542,50.637222
4.549331,50.419604
4.859232,50.462521
5.096696,50.493526
5.512079,50.6145
4.995078,50.467718
4.698505,50.448087
5.19293,50.518795
5.027417,50.490837
5.224993,50.516991
4.555781,50.436573
5.234787,50.516782
5.257963,50.532255
5.276426,50.536201
4.89143,50.465568
4.542205,50.419061
5.408934,50.578579
4.704831,50.448939
5.480062,50.594988
4.574459,50.440982
4.563121,50.422969
5.334441,50.544019
5.5297,50.62078
5.182977,50.516335
4.637384,50.445186
5.077841,50.491999
4.816508,50.452596
4.942501,50.478604
5.483922,50.599655
4.5767,50.438921
5.118366,50.498167
5.335764,50.555264
5.229822,50.516062
5.273213,50.536414
5.528517,50.619932
4.560215,50.41956
4.653934,50.43985
4.757605,50.440466
4.678929,50.448675
5.086177,50.491875
5.017156,50.481326
4.978953,50.474674
5.264249,50.53507
4.676052,50.450638
5.259567,50.534233
4.661768,50.442411
4.876452,50.46432
5.532037,50.622089
5.540508,50.629261
5.528588,50.619953
4.798878,50.452268
5.250643,50.528254
5.002146,50.468664
5.511465,50.609638
5.222682,50.52285
5.375543,50.566463
4.444925,50.413093
4.877328,50.46473
5.024379,50.489491
5.471271,50.591524
5.068944,50.491994
5.251657,50.529001
4.615902,50.43091
4.614379,50.430294
5.48075,50.596203
4.713947,50.43792
4.888112,50.465634
5.101557,50.494369
4.768519,50.448968
4.894467,50.465625
4.757651,50.441386
5.512125,50.619375
4.846849,50.470158
5.015288,50.479018
5.525051,50.619283
5.532535,50.622387
5.021752,50.487633
4.969991,50.478211
4.675282,50.450868
5.360667,50.56095
4.89237,50.465531
5.200065,50.524398
4.530357,50.411938
4.746505,50.435073
5.07086,50.491883
5.386803,50.567399
5.243017,50.524506
5.567935,50.637145
5.242206,50.522876
5.514443,50.60994
4.638126,50.445564
4.706921,50.440049
5.260065,50.534629
4.765765,50.448966
4.492989,50.396908
4.882035,50.464846
4.701962,50.449448
5.548418,50.633076
5.064581,50.492984
5.017054,50.481321
5.336152,50.555317
4.836866,50.467572
5.21123,50.52719
4.783948,50.443713
5.488838,50.602869
5.511421,50.617826
5.223551,50.520023
5.517244,50.620854
5.017262,50.481305
4.818889,50.451943
5.40494,50.576165
5.481218,50.59701
4.800579,50.452662
4.788069,50.443477
5.474812,50.591795
5.419488,50.583196
4.558177,50.440198
5.46184,50.59093
4.44491,50.415321
4.467365,50.39874
4.684937,50.442642
5.542182,50.628024
5.095484,50.493278
4.623035,50.440276
5.197689,50.523761
5.486897,50.60166
5.191297,50.517841
5.199392,50.524275
5.444837,50.588857
5.009999,50.474031
4.809586,50.452731
5.19466,50.521229
5.262503,50.535135
4.484439,50.396343
5.507443,50.609068
4.833339,50.449863
4.710607,50.438112
4.498008,50.398783
5.384309,50.566749
5.263748,50.535271
5.256906,50.531498
4.742344,50.441419
5.131919,50.503
4.611358,50.42996
5.38601,50.567069
4.502334,50.401533
5.480359,50.594458
4.444723,50.415549
5.520927,50.620627
4.806191,50.452892
5.346064,50.556724
4.591011,50.432222
5.360064,50.560219
4.846769,50.469845
4.894183,50.465596
5.570482,50.639815
5.548478,50.632997
4.858263,50.462777
5.110776,50.496236
5.220816,50.524783
4.878347,50.465675
5.282077,50.534911
5.070737,50.491668
5.229509,50.516019
5.003406,50.469175
4.746648,50.434985
5.359609,50.562547
4.616516,50.431299
5.191755,50.518057
4.842468,50.469694
5.556353,50.63543
5.346035,50.55663
5.149495,50.509703
5.282372,50.534905
4.878387,50.465692
4.486762,50.395574
5.568122,50.638086
5.519489,50.620982
5.335227,50.544376
4.854445,50.466613
4.832782,50.460526
4.843614,50.469822
5.391211,50.570138
4.525393,50.409732
4.444596,50.412518
4.748235,50.433603
5.510564,50.618414
4.450353,50.4056
5.473209,50.591506
5.246013,50.527834
4.560851,50.419818
4.879736,50.463824
4.860809,50.462188
4.824427,50.448985
4.896585,50.465557
5.298164,50.531765
4.57617,50.439614
4.813945,50.452519
4.877873,50.465032
5.459307,50.590625
5.153657,50.510612
4.89557,50.465549
5.22912,50.515995
4.63886,50.444625
5.408551,50.578592
4.738742,50.442512
5.55802,50.635858
5.053589,50.49545
4.81936,50.451636
5.334578,50.552539
4.62649,50.443633
5.281241,50.535437
5.564939,50.637103
5.222296,50.523385
5.130329,50.502605
5.253109,50.529672
4.487922,50.395492
4.561991,50.443148
5.222804,50.522639
4.515745,50.405929
4.766945,50.449083
5.243537,50.525026
5.35749,50.559016
5.248764,50.529756
5.386662,50.567422
4.879941,50.463402
4.648926,50.439581
5.353418,50.558656
5.512803,50.609786
5.386125,50.567149
4.44604,50.409487
4.74744,50.434122
5.530637,50.621199
5.242639,50.523005
4.708411,50.438735
4.56269,50.421179
4.673447,50.451066
5.450802,50.589673
5.427121,50.585113
4.850934,50.4696
5.54857,50.63298
5.126271,50.501155
5.194033,50.519722
5.336043,50.545505
5.039192,50.494531
5.380297,50.566787
5.519043,50.620978
4.621625,50.437496
4.757867,50.439373
5.567908,50.636212
5.548678,50.633021
4.634754,50.446266
5.336847,50.555054
5.487259,50.60196
5.51259,50.612088
5.346022,50.556682
5.08722,50.491976
5.238683,50.51993
4.643137,50.44174
5.511959,50.616856
5.244185,50.526083
4.688139,50.442252
5.512093,50.614458
4.548397,50.419651
5.50833,50.609209
5.360566,50.561185
4.637614,50.445542
4.63452,50.445967
5.520756,50.620895
4.573376,50.441769
4.834685,50.456155
4.795569,50.45064
5.22132,50.524385
