lon,lat
5.44368,50.673691
5.022561,50.688652
4.598796,50.639811
5.633772,50.584777
5.721408,50.535082
4.575816,50.642752
3.999692,50.463809
4.420234,50.604387
5.179676,50.677732
4.4688,50.608655
5.559928,50.63191
5.635172,50.595062
5.562908,50.629882
4.674758,50.6395
4.677374,50.636441
5.636127,50.598236
5.776967,50.494079
5.640699,50.57271
4.179742,50.494226
4.415853,50.604121
5.416202,50.666021
5.691162,50.544574
5.023925,50.689078
4.694884,50.618254
4.647591,50.632181
4.988157,50.693406
4.57291,50.642104
4.580303,50.643126
4.636236,50.631317
5.716142,50.531405
4.659119,50.635965
3.999177,50.463846
4.439004,50.60621
3.964601,50.463443
4.657679,50.635373
5.671602,50.555479
4.365314,50.610801
5.632294,50.585516
4.320425,50.600432
5.230774,50.688285
5.629386,50.590401
4.962019,50.683398
4.358889,50.610062
5.509813,50.661618
5.448904,50.673405
4.320114,50.600324
5.818959,50.476459
5.272467,50.690478
5.085646,50.667872
5.321614,50.680728
4.274006,50.568533
4.570914,50.64228
5.278253,50.689995
4.726332,50.614933
5.554438,50.63984
4.056591,50.475338
5.699846,50.547826
5.332881,50.6782
5.327057,50.678654
4.008061,50.471237
4.270691,50.564123
4.60838,50.63449
4.381113,50.609462
5.591439,50.617648
5.7279,50.521705
5.802368,50.486912
5.51014,50.661547
5.518433,50.659496
5.506295,50.661606
5.041868,50.692703
4.134023,50.47808
4.549651,50.63858
4.59989,50.638984
5.382694,50.662557
5.26335,50.693889
4.313096,50.598565
4.182314,50.493049
4.335634,50.605275
5.464281,50.670915
4.264655,50.539459
5.562127,50.629631
5.774038,50.497209
5.02728,50.690635
4.124624,50.47673
4.292479,50.590488
4.177474,50.500517
5.699348,50.547716
5.043206,50.690954
5.40125,50.662523
5.636074,50.597476
5.776151,50.493565
5.538004,50.640318
5.20579,50.683805
5.414808,50.664567
5.640084,50.580452
5.72902,50.520324
5.255519,50.693262
3.953099,50.454923
4.567321,50.643044
5.586769,50.619736
5.724157,50.523692
4.95771,50.682516
5.497419,50.661131
5.674142,50.543499
5.776644,50.495192
4.335633,50.60526
4.955219,50.682464
5.128159,50.676428
4.725041,50.614914
4.261444,50.533008
4.137445,50.482182
5.732882,50.508405
4.030014,50.471563
4.885186,50.647365
4.363945,50.610697
5.482688,50.665756
5.330085,50.678178
4.450304,50.608193
5.424912,50.671594
5.549646,50.642463
5.565705,50.626194
5.674953,50.547599
5.244226,50.696207
5.71567,50.545972
4.146307,50.483717
5.347921,50.673378
5.484769,50.665357
5.046987,50.686175
5.73299,50.508456
5.668638,50.556473
5.547655,50.641213
5.859048,50.489085
4.955596,50.682476
5.799446,50.487622
4.265883,50.548901
5.398932,50.662349
4.605701,50.636312
4.721739,50.613268
4.649571,50.631375
5.404374,50.662716
5.653553,50.561146
4.425642,50.604939
4.702912,50.615234
4.992407,50.691864
4.568308,50.642317
4.889636,50.650014
5.476184,50.667365
5.074348,50.670525
4.7622,50.618773
4.819321,50.629407
4.258783,50.5297
5.265445,50.692137
4.300195,50.594661
4.308139,50.597304
5.504089,50.661439
5.091697,50.673476
5.413765,50.664115
5.453716,50.672881
4.768189,50.610563
5.071381,50.672135
5.63989,50.576087
5.265571,50.692088
5.572342,50.627901
4.686218,50.629138
4.896537,50.65445
5.821517,50.477811
5.410623,50.663826
4.348494,50.608793
5.567043,50.625331
4.178252,50.4952
4.136629,50.481332
4.647036,50.632504
4.760096,50.620619
5.735841,50.51742
4.809943,50.624962
4.689186,50.625612
5.227037,50.687248
5.056349,50.681219
4.036545,50.47155
5.695516,50.545467
5.390262,50.663678
5.437181,50.675512
4.453347,50.608902
5.641458,50.570459
4.136945,50.482352
5.57732,50.625607
5.391227,50.663529
5.640096,50.574396
5.722041,50.526248
5.178503,50.67766
5.691127,50.54451
4.245783,50.52595
5.558667,50.634468
4.265505,50.544206
4.567591,50.642992
5.555858,50.63863
5.57559,50.628733
5.720666,50.545247
5.73646,50.513661
4.604977,50.636557
5.632825,50.591558
5.128977,50.676424
4.667631,50.637549
4.700203,50.614809
5.784449,50.489702
4.901724,50.658092
5.472728,50.667821
5.646249,50.564489
5.730756,50.507275
3.955783,50.458828
4.113718,50.47432
4.968153,50.684964
4.060136,50.475268
4.264759,50.539743
5.633498,50.600531
5.122053,50.675589
4.006425,50.468854
4.245877,50.526441
4.265387,50.54319
4.290676,50.589235
3.984673,50.464237
5.698167,50.547187
5.859274,50.491906
4.137671,50.481637
5.177038,50.678023
4.176316,50.496507
5.285351,50.689079
5.54934,50.642331
4.5837,50.641091
4.698025,50.615905
4.662728,50.637322
5.722433,50.525782
5.453788,50.672863
5.573697,50.627819
4.007754,50.469546
5.364698,50.666078
4.679769,50.634797
4.267373,50.556581
4.620524,50.632441
4.019559,50.47161
4.648988,50.631874
4.217384,50.514398
4.015226,50.472333
4.482453,50.608979
4.695435,50.616525
4.67435,50.640125
5.838657,50.48381
5.639466,50.57688
5.832366,50.481297
4.479654,50.608882
4.811086,50.625502
4.007559,50.46947
4.801908,50.622604
4.255734,50.530052
4.224123,50.516852
5.571419,50.627274
4.626818,50.631613
5.628111,50.603429
5.629688,50.586751
5.668245,50.55741
4.340679,50.606486
4.720948,50.612858
5.501985,50.662059
5.633859,50.592164
4.598968,50.639808
4.624997,50.631453
5.001663,50.68796
4.007073,50.469374
5.03918,50.694252
5.640942,50.568547
5.154543,50.676916
5.390591,50.663702
5.474827,50.667757
5.638918,50.580857
4.090442,50.472386
4.992336,50.691939
5.628391,50.603057
5.735564,50.517785
4.594794,50.640107
5.320925,50.68055
4.761261,50.620487
5.542106,50.640938
4.833681,50.634919
4.244267,50.523183
5.634783,50.594148
4.71743,50.615371
5.599601,50.614935
5.795686,50.488308
5.644059,50.565517
4.659435,50.636118
5.517784,50.660251
4.642688,50.632271
5.324501,50.677252
5.734414,50.504523
4.727779,50.616318
5.612,50.608966
5.013551,50.687104
5.259553,50.69537
5.218659,50.684739
5.639151,50.578908
4.259306,50.529639
4.992127,50.691849
5.63148,50.588191
4.98922,50.692583
5.581955,50.621206
4.207494,50.507997
4.8141,50.627231
5.733605,50.509023
4.175382,50.487319
5.002212,50.688491
4.610829,50.633315
4.897329,50.655593
5.413255,50.664023
4.577797,50.643268
